iter	Passed	Remaining
0	172	172677
1	174	87031
2	175	58479
3	177	44145
4	178	35533
5	179	29790
6	181	25676
7	182	22640
8	186	20561
9	187	18611
10	189	17015
11	190	15712
12	192	14609
13	194	13722
14	196	12899
15	200	12360
16	202	11704
17	204	11135
18	205	10627
19	207	10161
20	209	9757
21	214	9534
22	216	9178
23	217	8841
24	220	8581
25	223	8363
26	224	8097
27	225	7845
28	235	7883
29	237	7694
30	239	7488
31	240	7289
32	250	7335
33	252	7164
34	255	7048
35	262	7027
36	266	6924
37	267	6774
38	269	6632
39	272	6537
40	274	6426
41	277	6319
42	278	6204
43	281	6106
44	286	6087
45	289	6012
46	292	5925
47	296	5885
48	302	5866
49	304	5777
50	306	5709
51	317	5779
52	319	5715
53	327	5741
54	330	5680
55	335	5660
56	337	5587
57	339	5518
58	346	5533
59	350	5489
60	352	5425
61	354	5365
62	362	5385
63	363	5322
64	365	5263
65	371	5259
66	379	5287
67	383	5254
68	385	5197
69	386	5140
70	395	5172
71	397	5126
72	400	5081
73	402	5041
74	408	5041
75	411	5004
76	414	4966
77	417	4939
78	424	4951
79	426	4902
80	427	4854
81	429	4804
82	429	4749
83	431	4702
84	433	4661
85	438	4659
86	439	4615
87	441	4574
88	442	4531
89	444	4493
90	445	4451
91	446	4411
92	448	4372
93	451	4350
94	453	4323
95	455	4285
96	457	4257
97	458	4223
98	460	4189
99	462	4158
100	463	4122
101	468	4123
102	469	4090
103	471	4057
104	472	4026
105	473	3994
106	474	3963
107	476	3931
108	477	3906
109	480	3887
110	482	3862
111	483	3834
112	485	3808
113	486	3783
114	488	3756
115	489	3730
116	490	3703
117	492	3680
118	496	3673
119	497	3650
120	499	3626
121	500	3601
122	501	3577
123	503	3554
124	504	3531
125	505	3508
126	506	3484
127	510	3478
128	511	3456
129	513	3435
130	514	3414
131	516	3393
132	517	3371
133	518	3353
134	520	3332
135	521	3314
136	524	3301
137	525	3282
138	526	3263
139	528	3245
140	529	3227
141	530	3206
142	531	3188
143	533	3169
144	534	3152
145	536	3135
146	539	3132
147	541	3115
148	542	3098
149	543	3081
150	545	3066
151	547	3052
152	549	3039
153	550	3024
154	552	3013
155	554	2999
156	555	2984
157	557	2969
158	558	2956
159	560	2941
160	560	2923
161	562	2908
162	563	2894
163	564	2879
164	567	2870
165	569	2860
166	570	2845
167	571	2831
168	573	2818
169	574	2806
170	576	2792
171	577	2779
172	578	2765
173	579	2751
174	582	2743
175	584	2734
176	585	2721
177	586	2709
178	587	2696
179	589	2683
180	590	2671
181	591	2659
182	592	2647
183	594	2636
184	596	2628
185	598	2618
186	599	2607
187	601	2596
188	602	2585
189	603	2573
190	605	2562
191	606	2551
192	607	2541
193	609	2531
194	611	2524
195	612	2514
196	614	2503
197	615	2492
198	616	2482
199	618	2472
200	619	2462
201	620	2451
202	621	2441
203	622	2430
204	625	2426
205	627	2418
206	628	2408
207	629	2398
208	631	2388
209	632	2380
210	634	2371
211	635	2362
212	637	2354
213	640	2353
214	642	2345
215	643	2336
216	645	2327
217	646	2320
218	648	2311
219	649	2302
220	650	2293
221	651	2284
222	653	2276
223	656	2273
224	657	2264
225	658	2256
226	660	2248
227	661	2240
228	662	2231
229	664	2223
230	665	2214
231	666	2207
232	668	2199
233	670	2195
234	672	2187
235	673	2179
236	674	2172
237	675	2164
238	677	2156
239	678	2148
240	679	2140
241	680	2132
242	682	2125
243	685	2122
244	686	2115
245	687	2107
246	689	2100
247	690	2093
248	691	2085
249	692	2078
250	693	2070
251	695	2063
252	696	2055
253	698	2051
254	700	2046
255	701	2039
256	704	2036
257	705	2029
258	707	2023
259	708	2016
260	709	2009
261	711	2003
262	713	2000
263	716	1997
264	717	1991
265	720	1986
266	721	1981
267	724	1977
268	725	1972
269	728	1970
270	730	1964
271	731	1959
272	733	1954
273	735	1948
274	736	1942
275	738	1937
276	740	1931
277	743	1930
278	745	1925
279	746	1920
280	748	1915
281	749	1909
282	751	1903
283	752	1898
284	754	1892
285	756	1888
286	759	1887
287	761	1881
288	762	1876
289	764	1871
290	766	1866
291	767	1860
292	769	1855
293	771	1851
294	775	1852
295	777	1848
296	779	1844
297	782	1842
298	785	1840
299	786	1836
300	789	1834
301	791	1828
302	792	1823
303	794	1818
304	796	1814
305	797	1809
306	799	1804
307	800	1799
308	803	1797
309	805	1792
310	806	1787
311	808	1783
312	810	1778
313	811	1772
314	813	1768
315	814	1763
316	816	1758
317	819	1757
318	820	1752
319	822	1747
320	824	1743
321	826	1739
322	827	1735
323	829	1730
324	831	1726
325	834	1724
326	835	1720
327	837	1715
328	839	1711
329	840	1707
330	842	1702
331	843	1697
332	845	1693
333	851	1697
334	855	1697
335	857	1693
336	859	1690
337	861	1687
338	866	1690
339	869	1687
340	870	1682
341	872	1678
342	873	1673
343	874	1668
344	876	1663
345	880	1663
346	881	1658
347	882	1653
348	883	1648
349	885	1644
350	886	1639
351	888	1634
352	889	1630
353	890	1625
354	894	1624
355	896	1620
356	897	1616
357	899	1612
358	900	1608
359	909	1617
360	912	1614
361	913	1609
362	914	1605
363	917	1602
364	919	1599
365	924	1600
366	925	1596
367	926	1591
368	928	1587
369	931	1585
370	932	1581
371	934	1578
372	937	1576
373	939	1573
374	941	1569
375	943	1565
376	944	1560
377	945	1555
378	946	1551
379	948	1546
380	949	1542
381	954	1543
382	955	1539
383	957	1536
384	959	1533
385	961	1529
386	963	1525
387	964	1522
388	969	1522
389	971	1518
390	972	1514
391	974	1510
392	975	1506
393	977	1503
394	978	1498
395	979	1494
396	983	1494
397	985	1490
398	986	1486
399	988	1482
400	989	1478
401	991	1474
402	992	1470
403	994	1466
404	999	1467
405	1001	1464
406	1003	1461
407	1005	1458
408	1006	1454
409	1008	1450
410	1009	1447
411	1014	1447
412	1015	1443
413	1017	1440
414	1018	1436
415	1020	1432
416	1021	1428
417	1023	1425
418	1025	1421
419	1029	1421
420	1031	1418
421	1033	1414
422	1034	1411
423	1036	1407
424	1038	1404
425	1040	1402
426	1044	1401
427	1046	1397
428	1047	1394
429	1049	1390
430	1050	1387
431	1052	1383
432	1053	1379
433	1055	1376
434	1057	1373
435	1060	1372
436	1062	1368
437	1063	1364
438	1064	1360
439	1066	1357
440	1067	1353
441	1069	1350
442	1070	1346
443	1074	1346
444	1076	1342
445	1079	1340
446	1080	1337
447	1082	1333
448	1083	1329
449	1085	1326
450	1086	1322
451	1089	1321
452	1091	1317
453	1093	1314
454	1094	1310
455	1095	1307
456	1097	1303
457	1098	1300
458	1100	1297
459	1102	1294
460	1105	1292
461	1106	1288
462	1107	1284
463	1109	1281
464	1110	1278
465	1112	1274
466	1113	1270
467	1114	1267
468	1116	1263
469	1119	1262
470	1120	1258
471	1122	1255
472	1123	1251
473	1124	1247
474	1125	1244
475	1127	1240
476	1128	1237
477	1129	1233
478	1131	1230
479	1134	1228
480	1135	1225
481	1136	1221
482	1138	1218
483	1139	1214
484	1140	1211
485	1141	1207
486	1142	1203
487	1144	1200
488	1145	1196
489	1149	1196
490	1150	1192
491	1151	1189
492	1153	1185
493	1154	1182
494	1155	1178
495	1156	1175
496	1158	1172
497	1159	1168
498	1160	1165
499	1164	1164
500	1165	1161
501	1167	1157
502	1168	1154
503	1169	1150
504	1170	1147
505	1171	1144
506	1173	1140
507	1174	1137
508	1178	1136
509	1179	1133
510	1180	1129
511	1182	1126
512	1183	1123
513	1184	1119
514	1185	1116
515	1186	1113
516	1188	1109
517	1189	1106
518	1193	1106
519	1195	1103
520	1197	1100
521	1198	1097
522	1200	1094
523	1202	1091
524	1203	1089
525	1205	1085
526	1208	1084
527	1209	1081
528	1210	1078
529	1212	1074
530	1213	1071
531	1214	1068
532	1215	1065
533	1216	1061
534	1218	1058
535	1219	1055
536	1223	1054
537	1224	1051
538	1226	1048
539	1228	1046
540	1229	1043
541	1230	1039
542	1231	1036
543	1233	1033
544	1234	1030
545	1238	1029
546	1239	1026
547	1241	1023
548	1242	1020
549	1243	1017
550	1244	1014
551	1245	1011
552	1247	1008
553	1248	1005
554	1252	1003
555	1253	1000
556	1254	997
557	1255	994
558	1257	991
559	1258	988
560	1259	985
561	1260	982
562	1262	979
563	1264	977
564	1268	976
565	1270	974
566	1272	971
567	1273	968
568	1275	966
569	1277	963
570	1278	960
571	1282	959
572	1284	957
573	1285	954
574	1287	951
575	1288	948
576	1290	945
577	1291	943
578	1293	940
579	1296	939
580	1298	936
581	1300	933
582	1301	931
583	1303	928
584	1305	925
585	1306	923
586	1308	920
587	1309	917
588	1311	915
589	1312	912
590	1314	909
591	1316	907
592	1317	904
593	1318	901
594	1320	898
595	1322	896
596	1327	895
597	1328	893
598	1330	890
599	1331	887
600	1333	885
601	1335	882
602	1337	880
603	1341	879
604	1343	876
605	1344	874
606	1346	871
607	1347	868
608	1349	866
609	1350	863
610	1352	860
611	1356	859
612	1357	857
613	1359	854
614	1360	851
615	1362	849
616	1363	846
617	1365	843
618	1366	841
619	1368	838
620	1369	836
621	1371	833
622	1374	831
623	1376	829
624	1377	826
625	1379	823
626	1380	821
627	1385	820
628	1386	817
629	1388	815
630	1390	812
631	1391	810
632	1393	807
633	1395	805
634	1400	804
635	1401	802
636	1403	799
637	1404	797
638	1406	794
639	1407	791
640	1408	789
641	1410	786
642	1413	784
643	1414	782
644	1416	779
645	1417	776
646	1418	773
647	1419	771
648	1421	768
649	1422	765
650	1423	763
651	1424	760
652	1428	759
653	1429	756
654	1431	753
655	1432	751
656	1433	748
657	1434	745
658	1436	743
659	1437	740
660	1438	737
661	1440	735
662	1443	733
663	1444	730
664	1445	728
665	1447	725
666	1448	723
667	1449	720
668	1450	717
669	1452	715
670	1453	712
671	1457	711
672	1459	708
673	1460	706
674	1461	703
675	1462	701
676	1464	698
677	1465	696
678	1467	693
679	1468	691
680	1470	688
681	1473	686
682	1474	684
683	1476	682
684	1478	679
685	1479	677
686	1480	674
687	1481	672
688	1483	669
689	1487	668
690	1488	665
691	1489	663
692	1491	660
693	1492	657
694	1493	655
695	1494	652
696	1496	650
697	1497	647
698	1498	645
699	1502	643
700	1503	641
701	1505	638
702	1506	636
703	1507	633
704	1509	631
705	1510	628
706	1511	626
707	1513	624
708	1515	621
709	1518	620
710	1520	617
711	1522	615
712	1525	613
713	1526	611
714	1528	609
715	1532	607
716	1534	605
717	1536	603
718	1538	601
719	1541	599
720	1543	597
721	1547	596
722	1550	593
723	1552	591
724	1553	589
725	1554	586
726	1555	584
727	1557	581
728	1558	579
729	1564	578
730	1566	576
731	1567	573
732	1569	571
733	1572	569
734	1574	567
735	1578	566
736	1579	563
737	1581	561
738	1583	559
739	1585	556
740	1586	554
741	1588	552
742	1589	549
743	1594	548
744	1596	546
745	1598	544
746	1600	541
747	1601	539
748	1603	537
749	1608	536
750	1609	533
751	1611	531
752	1612	528
753	1615	527
754	1617	524
755	1618	522
756	1622	520
757	1624	518
758	1626	516
759	1628	514
760	1631	512
761	1632	510
762	1638	508
763	1639	506
764	1641	504
765	1643	501
766	1644	499
767	1646	497
768	1647	494
769	1651	493
770	1653	491
771	1654	488
772	1656	486
773	1658	484
774	1659	481
775	1661	479
776	1663	477
777	1668	475
778	1669	473
779	1673	471
780	1675	469
781	1677	467
782	1679	465
783	1683	463
784	1685	461
785	1686	459
786	1688	456
787	1690	454
788	1691	452
789	1693	450
790	1697	448
791	1698	446
792	1700	443
793	1701	441
794	1702	439
795	1703	436
796	1704	434
797	1706	431
798	1707	429
799	1711	427
800	1712	425
801	1714	423
